
2024/08/02 (21:37:06) | ===> btop++ v.1.3.2
2024/08/02 (21:37:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/09 (02:14:27) | ===> btop++ v.1.3.2
2024/08/09 (02:14:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (19:08:06) | ===> btop++ v.1.3.2
2024/08/08 (19:08:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (19:30:20) | ===> btop++ v.1.3.2
2024/08/08 (19:30:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (20:37:16) | ===> btop++ v.1.3.2
2024/08/08 (20:37:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (20:37:20) | ===> btop++ v.1.3.2
2024/08/08 (20:37:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/09 (02:05:53) | ===> btop++ v.1.3.2
2024/08/09 (02:05:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/09 (04:00:01) | ===> btop++ v.1.3.2
2024/08/09 (04:00:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (18:09:37) | ===> btop++ v.1.3.2
2024/08/13 (18:09:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (23:10:24) | ===> btop++ v.1.3.2
2024/08/13 (23:10:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/16 (13:52:30) | ===> btop++ v.1.3.2
2024/08/16 (13:52:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/13 (19:21:43) | ===> btop++ v.1.3.2
2024/09/13 (19:21:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/17 (14:32:26) | ===> btop++ v.1.3.2
2024/09/17 (14:32:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/17 (14:34:12) | ===> btop++ v.1.3.2
2024/09/17 (14:34:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/17 (14:47:43) | ===> btop++ v.1.3.2
2024/09/17 (14:47:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/17 (18:36:51) | ===> btop++ v.1.3.2
2024/09/17 (18:36:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (15:55:57) | ===> btop++ v.1.3.2
2024/09/22 (15:55:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (15:56:51) | ===> btop++ v.1.3.2
2024/09/22 (15:56:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (16:06:14) | ===> btop++ v.1.3.2
2024/09/22 (16:06:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (16:06:26) | ===> btop++ v.1.3.2
2024/09/22 (16:06:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

